Height	theta	q	u	v
2289.3	302.933	7.174	0.0	27.142
2294.429	302.945	7.16	0.0	27.142
2299.557	302.958	7.147	0.0	27.142
2309.8	302.983	7.123	0.0	27.142
2314.957	302.996	7.109	0.0	27.142
2320.143	303.009	7.096	0.0	27.142
2325.357	303.022	7.083	0.0	27.142
2330.6	303.035	7.069	0.0	27.142
2335.857	303.048	7.056	0.0	27.142
2341.114	303.061	7.043	0.0	27.142
2346.386	303.074	7.029	0.0	27.142
2351.657	303.087	7.017	0.0	27.142
2356.929	303.1	7.005	0.0	27.142
2362.2	303.113	6.992	0.0	27.142
2367.471	303.126	6.979	0.0	27.142
2372.771	303.139	6.966	0.0	27.142
2378.071	303.152	6.954	0.0	27.142
2388.643	303.178	6.929	0.0	27.142
2393.914	303.191	6.915	0.0	27.142
2399.171	303.204	6.903	0.0	27.142
2404.443	303.217	6.89	0.0	27.142
2409.7	303.23	6.878	0.0	27.142
2414.971	303.243	6.866	0.0	27.142
2420.243	303.256	6.853	0.0	27.142
2425.514	303.269	6.841	0.0	27.142
2430.8	303.282	6.829	0.0	27.142
2436.086	303.296	6.817	0.0	27.142
2441.371	303.309	6.807	0.0	27.142
2446.657	303.322	6.798	0.0	27.142
2451.943	303.335	6.789	0.0	27.142
2457.214	303.348	6.781	0.0	27.142
2467.771	303.374	6.764	0.0	27.142
2473.071	303.387	6.757	0.0	27.142
2478.386	303.4	6.75	0.0	27.142
2483.714	303.413	6.743	0.0	27.142
2489.071	303.427	6.737	0.0	27.142
2494.471	303.44	6.731	0.0	27.142
2499.9	303.453	6.725	0.0	27.142
2505.357	303.467	6.719	0.0	27.175
2510.843	303.481	6.713	0.0	27.208
2516.343	303.494	6.706	0.0	27.241
2521.871	303.508	6.701	0.0	27.274
2527.4	303.522	6.695	0.0	27.307
2532.957	303.535	6.691	0.0	27.34
2538.529	303.549	6.686	0.0	27.374
2549.686	303.577	6.676	0.0	27.441
2555.286	303.591	6.672	0.0	27.474
2560.914	303.604	6.668	0.0	27.508
